Time[s] TxPosX[m] TxPosY[m] RxPosX[m] RxPosY[m] ChannelState SNR[dB] Pathloss[dB]
0 250 1 250 0 LOS 77.4187 56.9164
0.01 250 1.16628 250 0.0833333 LOS 21.4895 56.9164
0.02 250 1.33256 250 0.166667 LOS -34.9548 56.9164
0.03 250 1.49885 250 0.25 LOS -93.3119 56.9164
0.04 250 1.66513 250 0.333333 LOS -149.801 56.9164
0.05 250 1.83141 250 0.416667 LOS -206.991 56.9164
0.06 250 1.99769 250 0.5 LOS -262.244 56.9164
0.07 250 2.16397 250 0.583333 LOS -322.016 56.9164
0.08 250 2.33025 250 0.666667 LOS -377.57 56.9164
0.09 250 2.49654 250 0.75 LOS -435.781 56.9164
0.1 250 2.66282 250 0.833333 LOS -489.98 56.9164
0.11 250 2.8291 250 0.916667 LOS -548.958 56.9164
0.12 250 2.99538 250 1 LOS -605.039 56.9164
0.13 250 3.16166 250 1.08333 LOS -663.776 56.9164
0.14 250 3.32794 250 1.16667 LOS -717.996 56.9164
0.15 250 3.49423 250 1.25 LOS -777.071 56.9164
0.16 250 3.66051 250 1.33333 LOS -832.829 56.9164
0.17 250 3.82679 250 1.41667 LOS -892.617 56.9164
0.18 250 3.99307 250 1.5 LOS -945.843 56.9164
0.19 250 4.15935 250 1.58333 LOS -1020.3 73.1284
0.2 250 4.32564 250 1.66667 LOS -1092.82 73.1284
0.21 250 4.49192 250 1.75 LOS -1167.94 73.1284
0.22 250 4.6582 250 1.83333 LOS -1239.29 73.1284
0.23 250 4.82448 250 1.91667 LOS -1312.71 73.1284
0.24 250 4.99076 250 2 LOS -1385.81 73.1284
0.25 250 5.15704 250 2.08333 LOS -1460.71 73.1284
0.26 250 5.32333 250 2.16667 LOS -1532.14 73.1284
0.27 250 5.48961 250 2.25 LOS -1605.01 73.1284
0.28 250 5.65589 250 2.33333 LOS -1677.88 73.1284
0.29 250 5.82217 250 2.41667 LOS -1751.72 73.1284
0.3 250 5.98845 250 2.5 LOS -1825.7 73.1284
0.31 250 6.15473 250 2.58333 LOS -1897.13 73.1284
0.32 250 6.32102 250 2.66667 LOS -1971.19 73.1284
0.33 250 6.4873 250 2.75 LOS -2043.86 73.1284
0.34 250 6.65358 250 2.83333 LOS -2118.79 73.1284
0.35 250 6.81986 250 2.91667 LOS -2189.58 73.1284
0.36 250 6.98614 250 3 LOS -2247.76 57.8891
0.37 250 7.15242 250 3.08333 LOS -2304.98 57.8891
0.38 250 7.31871 250 3.16667 LOS -2381.12 73.4268
0.39 250 7.48499 250 3.25 LOS -2452 73.4268
0.4 250 7.65127 250 3.33333 LOS -2526.84 73.4268
0.41 250 7.81755 250 3.41667 LOS -2598.25 73.4268
0.42 250 7.98383 250 3.5 LOS -2675.07 73.4268
0.43 250 8.15012 250 3.58333 LOS -2745.65 73.4268
0.44 250 8.3164 250 3.66667 LOS -2819.94 73.4268
0.45 250 8.48268 250 3.75 LOS -2891.59 73.4268
0.46 250 8.64896 250 3.83333 LOS -2967.33 73.4268
0.47 250 8.81524 250 3.91667 LOS -inf 73.4268
0.48 250 8.98152 250 4 LOS -inf 73.4268
0.49 250 9.14781 250 4.08333 LOS -inf 73.4268
0.5 250 9.31409 250 4.16667 LOS -inf 73.4268
0.51 250 9.48037 250 4.25 LOS -inf 73.4268
0.52 250 9.64665 250 4.33333 LOS -inf 73.4268
0.53 250 9.81293 250 4.41667 LOS -inf 73.4268
0.54 250 9.97921 250 4.5 LOS -inf 73.4268
0.55 250 10.1455 250 4.58333 LOS -inf 73.4268
0.56 250 10.3118 250 4.66667 LOS -inf 73.4268
0.57 250 10.4781 250 4.75 LOS -inf 78.1753
0.58 250 10.6443 250 4.83333 LOS -inf 78.1753
0.59 250 10.8106 250 4.91667 LOS -inf 78.1753
0.6 250 10.9769 250 5 LOS -inf 78.1753
0.61 250 11.1432 250 5.08333 LOS -inf 78.1753
0.62 250 11.3095 250 5.16667 LOS -inf 78.1753
0.63 250 11.4758 250 5.25 LOS -inf 78.1753
0.64 250 11.642 250 5.33333 LOS -inf 78.1753
0.65 250 11.8083 250 5.41667 LOS -inf 78.1753
0.66 250 11.9746 250 5.5 LOS -inf 78.1753
0.67 250 12.1409 250 5.58333 LOS -inf 78.1753
0.68 250 12.3072 250 5.66667 LOS -inf 78.1753
0.69 250 12.4734 250 5.75 LOS -inf 78.1753
